annotator,image_id,label,timestamp
annotator_1,chef_af_01.png,Male,2026-04-23T04:35:23.865842
annotator_1,chef_af_02.png,Male,2026-04-23T04:35:29.592603
annotator_1,chef_af_03.png,Male,2026-04-23T04:35:32.705563
annotator_1,chef_af_04.png,Male,2026-04-23T04:35:35.925135
annotator_1,chef_af_05.png,Ambiguous,2026-04-23T05:06:57.531526
annotator_1,chef_af_06.png,Ambiguous,2026-04-23T05:07:02.545513
annotator_1,chef_af_07.png,Male,2026-04-23T05:07:09.671230
annotator_1,chef_af_08.png,Male,2026-04-23T05:07:12.732397
annotator_1,chef_af_09.png,Male,2026-04-23T05:07:18.491020
annotator_1,chef_af_10.png,Ambiguous,2026-04-23T05:07:25.608011
annotator_1,chef_af_11.png,Male,2026-04-23T05:07:29.546330
annotator_1,chef_af_12.png,Male,2026-04-23T05:07:33.453358
annotator_1,chef_af_13.png,Male,2026-04-23T05:07:36.465655
annotator_1,chef_af_14.png,Male,2026-04-23T05:07:39.960481
annotator_1,chef_af_15.png,Male,2026-04-23T05:07:43.620589
annotator_1,chef_af_16.png,Ambiguous,2026-04-23T05:07:50.345839
annotator_1,chef_af_17.png,Ambiguous,2026-04-23T05:07:54.812922
annotator_1,chef_af_18.png,Male,2026-04-23T05:07:57.751092
annotator_1,chef_af_19.png,Male,2026-04-23T05:08:00.586118
annotator_1,chef_af_20.png,Male,2026-04-23T05:09:36.465819
annotator_1,chef_en_01.png,Male,2026-04-23T05:09:39.275666
annotator_1,chef_en_02.png,Male,2026-04-23T05:09:41.985425
annotator_1,chef_en_03.png,Male,2026-04-23T05:09:44.890616
annotator_1,chef_en_04.png,Male,2026-04-23T05:09:47.485527
annotator_1,chef_en_05.png,Male,2026-04-23T05:09:50.285710
annotator_1,chef_en_06.png,Male,2026-04-23T05:09:52.825713
annotator_1,chef_en_07.png,Male,2026-04-23T05:09:55.466011
annotator_1,chef_en_08.png,Male,2026-04-23T05:09:57.865455
annotator_1,chef_en_09.png,Male,2026-04-23T05:10:00.765560
annotator_1,chef_en_10.png,Male,2026-04-23T05:10:04.045883
annotator_1,chef_en_11.png,Male,2026-04-23T05:10:08.525286
annotator_1,chef_en_12.png,Male,2026-04-23T05:10:22.161530
annotator_1,chef_en_13.png,Male,2026-04-23T05:10:25.385211
annotator_1,chef_en_14.png,Male,2026-04-23T05:10:28.246005
annotator_1,chef_en_15.png,Male,2026-04-23T05:10:31.186169
annotator_1,chef_en_16.png,Male,2026-04-23T05:10:35.125456
annotator_1,chef_en_17.png,Male,2026-04-23T05:10:37.793316
annotator_1,chef_en_18.png,Ambiguous,2026-04-23T05:10:42.570321
annotator_1,chef_en_19.png,Male,2026-04-23T05:10:45.485777
annotator_1,chef_en_20.png,Male,2026-04-23T05:10:48.985839
annotator_1,childcare worker_af_01.png,Ambiguous,2026-04-23T05:10:58.746277
annotator_1,childcare worker_af_02.png,Ambiguous,2026-04-23T05:11:05.577604
annotator_1,childcare worker_af_03.png,Ambiguous,2026-04-23T05:11:09.168039
annotator_1,childcare worker_af_04.png,Ambiguous,2026-04-23T05:11:13.545376
annotator_1,childcare worker_af_05.png,Ambiguous,2026-04-23T05:11:18.446956
annotator_1,childcare worker_af_06.png,Ambiguous,2026-04-23T05:11:22.026168
annotator_1,childcare worker_af_07.png,Ambiguous,2026-04-23T05:11:25.786819
